,RAP,MSU1
330,Os01g0134500,LOC_Os01g04260
331,Os01g0134700,LOC_Os01g04280
332,Os01g0134800,LOC_Os01g04290
333,Os01g0134850,None
334,Os01g0134900,LOC_Os01g04300
335,Os01g0135000,None
336,Os01g0135600,LOC_Os01g04324
337,Os01g0135700,LOC_Os01g04330
338,Os01g0135800,LOC_Os01g04340
339,Os01g0135900,LOC_Os01g04350
340,Os01g0136000,LOC_Os01g04360
341,Os01g0136050,None
342,Os01g0136100,LOC_Os01g04370
343,Os01g0136200,LOC_Os01g04380
344,Os01g0136300,LOC_Os01g04390
345,Os01g0136400,LOC_Os01g04409
346,Os01g0136450,None
347,Os01g0136500,None
348,Os01g0136501,LOC_Os01g04430
349,Os01g0136502,None
350,Os01g0136600,None
351,Os01g0136700,LOC_Os01g04440
352,Os01g0136800,LOC_Os01g04450
353,Os01g0136850,None
354,Os01g0136900,LOC_Os01g04460
355,Os01g0137066,None
356,Os01g0137125,None
357,Os01g0137150,None
358,Os01g0137200,LOC_Os01g04480
359,Os01g0137232,None
360,Os01g0137250,LOC_Os01g04480
361,Os01g0137266,None
362,Os01g0137282,LOC_Os01g04490
363,Os01g0137300,LOC_Os01g04500
364,Os01g0137400,LOC_Os01g04470
365,Os01g0137401,None
366,Os01g0137500,LOC_Os01g04520
367,Os01g0137550,None
368,Os01g0137600,LOC_Os01g04530
369,Os01g0137700,LOC_Os01g04540
370,Os01g0137750,None
371,Os01g0137800,None
372,Os01g0137875,None
373,Os01g0137950,LOC_Os01g04550
374,Os01g0138000,None
375,Os01g0138050,None
376,Os01g0138100,None
377,Os01g0138166,None
378,Os01g0138232,None
379,Os01g0138300,LOC_Os01g04570
380,Os01g0138350,None
381,Os01g0138400,LOC_Os01g04580
382,Os01g0138451,None
383,Os01g0138500,LOC_Os01g04590
384,Os01g0138600,LOC_Os01g04600
385,Os01g0138800,LOC_Os01g04620
386,Os01g0138900,LOC_Os01g04630
387,Os01g0139000,LOC_Os01g04640
388,Os01g0139100,None
389,Os01g0139200,LOC_Os01g04650
390,Os01g0139600,LOC_Os01g04660
391,Os01g0139700,LOC_Os01g04670
392,Os01g0139900,LOC_Os01g04690
393,Os01g0140001,None
394,Os01g0140100,LOC_Os01g04710
395,Os01g0140400,LOC_Os01g04720
396,Os01g0140500,LOC_Os01g04730
397,Os01g0140601,None
398,Os01g0140700,LOC_Os01g04750
399,Os01g0141000,LOC_Os01g04800
400,Os01g0141100,LOC_Os01g04814
401,Os01g0141150,None
402,Os01g0141200,LOC_Os01g04830
403,Os01g0141300,LOC_Os01g04840
404,Os01g0141450,None
405,Os01g0141600,LOC_Os01g04860
406,Os01g0141700,LOC_Os01g04870
407,Os01g0141900,LOC_Os01g04880
